,dialog,cleaned_dialog
4739,my turn,turn
4740,okay first of all what you call a gap was nearly three feet wide,okay first call gap nearly three feet wide
4741,i slipped and skinned my knee are you okay,slipped skinned knee okay
4742,font color e ce buzzing font,e ce buzzing
4743,the door to the stairwell of the other building was locked,door stairwell building locked
4744,i had to go down the fire escape which ends on the third floor,go fire escape ends third floor
4745,forcing me to crawl through the window of a lovely armenian family,forcing crawl window lovely armenian family
4746,who insisted i stay for lunch,insisted stay lunch
4747,that doesn t sound too bad,sound bad
4748,it was eight courses of lamb and they tried to fix me up with their son,eight courses lamb tried fix son
4749,sorry not done,sorry done
4750,by the time i got to work they d given my shift away,time got work given shift away
4751,yeah that s right i ve lost an entire day s pay thanks to this,yeah right lost entire day pay thanks
4752,this time machine,time machine
4753,the lights flash and the dish spins wanna try,lights flash dish spins wanna try
4754,no,
4755,i don t wanna try it my god you are grown men,wanna try god grown men
4756,how can you waste your lives with these stupid toys,waste lives stupid toys
4757,and costumes and comic books and now that,costumes comic books
4758,that again time machine,time machine
4759,oh please it s not a time machine if anything it looks like,oh please time machine anything looks like
4760,something elton john would drive through the everglades,something elton john would drive everglades
4761,it only moves in time,moves time
4762,it would be worse than useless in a swamp,would worse useless swamp
4763,pathetic all of you completely pathetic,pathetic completely pathetic
4764,my turn,turn
4765,leonard it s in the morning,leonard morning
4766,so so it s my turn,turn
4767,why d you set it for the day before yesterday,set day yesterday
4768,because i wanna go back and keep myself from getting a time machine,wanna go back keep getting time machine
4769,you can t if you were to prevent yourself from buying it in the past,prevent buying past
4770,you would not have it available to stop yourself from buying it,would available stop buying
4771,ergo you would still have it this is a classic rookie time travel mistake,ergo would still classic rookie time travel mistake
4772,can i go back and prevent you from explaining that to me,go back prevent explaining
4773,same paradox,paradox
4774,if you were to travel back in time and knock me unconscious,travel back time knock unconscious
4775,you wouldn t have the conversation that irritated you,conversation irritated
4776,motivating you to go back and knock me unconscious,motivating go back knock unconscious
4777,what if i knocked you unconscious right now,knocked unconscious right
4778,it won t change the past,change past
4779,but it d make the present so much nicer,make present much nicer
4780,are you upset about something,upset something
4781,what was your first clue,first clue
4782,well it was a number of things first the late hour,well number things first late hour
4783,then your demeanor seems very low energy,demeanor seems low energy
4784,plus your irritability yes i m upset,plus irritability yes upset
4785,oh,oh
4786,i don t usually pick up on those things,usually pick things
4787,good for me,good
4788,yeah good for you,yeah good
4789,oh wait,oh wait
4790,did you wanna talk about what s bothering you,wanna talk bothering
4791,i don t know maybe wow i m on fire tonight,know maybe wow fire tonight
4792,well here s the thing,well thing
4793,girls like penny never end up with guys who own time machines,girls like penny never end guys time machines
4794,i disagree,disagree
4795,your inability to successfully woo penny,inability successfully woo penny
4796,long predates your acquisition of the time machine,long predates acquisition time machine
4797,that failure clearly stands on its own,failure clearly stands
4798,thanks for pointing it out in addition your premise is flawed,thanks pointing addition premise flawed
4799,in the original film rod taylor got yvette mimieux,original film rod taylor got yvette mimieux
4800,with that time machine,time machine
4801,in back to the future marty mcfly got to hook up,back future marty mcfly got hook
4802,with his extremely attractive young mother,extremely attractive young mother
4803,those are movies of course they re movies,movies course movies
4804,are you expecting an example involving a real life time machine,expecting example involving real life time machine
4805,that s absurd,absurd
4806,font color leonard font come on guys push,leonard come guys push
4807,font color howard font if i push any harder i m gonna give birth to my colon,howard push harder gonna give birth colon
4808,oh hey guys hi penny,oh hey guys hi penny
4809,font color e ce rajesh and howard scream font,e ce rajesh howard scream
4810,take a break guys,take break guys
4811,what are you doing,
4812,oh you know just moving a time machine,oh know moving time machine
4813,yeah okay neat but i really gotta get to work,yeah okay neat really gotta get work
4814,no problem,problem
4815,hang on,hang
4816,but what about your time machine,time machine
4817,some things are more important than toys,things important toys
4818,i m scared,scared
4819,don t worry baby i ve got you,worry baby got
4820,oh leonard,oh leonard
4821,it s still my turn,still turn
4822,what are you doing,
4823,i m packing up all my collectibles,packing collectibles
4824,and taking them down to the comic book store to sell,taking comic book store sell
4825,is that really necessary,really necessary
4826,if you need money you can always sell blood,need money always sell blood
4827,and semen,semen
4828,it s not about money,money
4829,we brought food,brought food
4830,lox and bagels the breakfast of time travelers,lox bagels breakfast time travelers
4831,terrific anyone wanna buy my share of the time machine,terrific anyone wanna buy share time machine
4832,why because i don t want it anymore,want anymore
4833,why just personal reasons,personal reasons
4834,my spidey sense tells me this has something to do with penny,spidey sense tells something penny
4835,look do you wanna buy me out or not,look wanna buy
4836,i ll give you which will make me half owner and we ll put it on my balcony,give make half owner put balcony
4837,screw his balcony i ll give you and put it in my garage,screw balcony give put garage
4838,i paid for my share everybody knows a time machine loses,paid share everybody knows time machine loses
4839,half its value the minute you drive it off the lot,half value minute drive lot
4840,i ll go for that time machine stays right where it is,go time machine stays right
4841,three hundred and i ll throw in my original mattel millennium falcon,three hundred throw original mattel millennium falcon
4842,with real light speed sound effects,real light speed sound effects
4843,no no more toys or action figures or props or replicas,toys action figures props replicas
4844,or costumes or robots or darth vader voice changers,costumes robots darth vader voice changers
4845,i m getting rid of all of it,getting rid
4846,you can t do that look what you ve created,look created
4847,it s like nerdvana,like nerdvana
4848,more importantly you have a darth vader voice changer,importantly darth vader voice changer
4849,not for long i call dibs on the golden age flash,long call dibs golden age flash
4850,i need that to complete my justice society of america collection,need complete justice society america collection
4851,i called dibs you can t,called dibs
4852,i can and i did look up dibs in wikipedia,look dibs wikipedia
4853,dibs doesn t apply in a bidding war,dibs apply bidding war
4854,it s not a bidding war i m selling it all to larry down at the comic book store,bidding war selling larry comic book store
4855,why larry did larry call dibs will you forget dibs,larry larry call dibs forget dibs
4856,he offered me a fair price for the whole collection,offered fair price whole collection
4857,what s the number i ll match it i ll match it plus rupees,number match match plus rupees
4858,what s the exchange rate none of your business take it or leave it,exchange rate none business take leave
4859,mom my bar mitzvah bonds how much do i got,mom bar mitzvah bonds much got
4860,thanks i can go and two trees in israel,thanks go two trees israel
4861,forget it guys if i sell to one of you the other two are gonna be mad at me,forget guys sell one two gonna mad
4862,who cares as long as you pick me,cares long pick
4863,okay leonard put down the box let s talk,okay leonard put box let talk
4864,sorry raj my mind is made up,sorry raj mind made
4865,no i can t let you do this,let
4866,sheldon get out of my way,sheldon get way
4867,none shall pass,none shall pass
4868,okay,okay
4869,i did not wanna do this,wanna
4870,but i have here the rare mint condition production era,rare mint condition production era
4871,star trek the next generation geordi la forge without his visor,star trek next generation geordi la forge without visor
4872,in the original packaging,original packaging
4873,if you do not get out of my way,get way
4874,i will open it,open
4875,okay man be cool,okay man cool
4876,we re all friends here,friends
4877,what the hell s going on,hell going
4878,you hypocrite what,hypocrite
4879,little miss grown ups don t play with toys,little miss grown ups play toys
4880,if i went into that apartment right now would i not find beanie babies,went apartment right would find beanie babies
4881,are you not an accumulator of care bears and my little ponies,accumulator care bears little ponies
4882,and who is that japanese feline i see frolicking on your shorts,japanese feline see frolicking shorts
4883,hello hello kitty,hello hello kitty
4884,okay okay look if this is about yesterday leonard,okay okay look yesterday leonard
4885,i am really sorry about what i said i was just upset,really sorry said upset
4886,no i needed to hear it you didn t you are a great guy,needed hear great guy
4887,and it is the things you love that make you who you are,things love make
4888,i guess that makes me large breasts,guess makes large breasts
4889,still i think it s time for me to get rid of this stuff,still think time get rid stuff
4890,and you know move on with my life,know move life
4891,really yeah,really yeah
4892,oh wow,oh wow
4893,good for you,good
4894,thanks,thanks
4895,hey do you wanna i don t know later,hey wanna know later
4896,excuse me,excuse
4897,hey penny hi mike,hey penny hi mike
4898,you ready to go i just have to change,ready go change
4899,i ll give you a hand oh stop it,give hand oh stop
4900,bye guys,bye guys
4901,font color e ce door closes font,e ce door closes
4902,my turn on the time machine,turn time machine
4903,it worked,worked
4904,it really worked,really worked
4905,they said i was mad but it worked,said mad worked
4906,oh no not morlocks,oh morlocks
4907,not flesh eating morlocks,flesh eating morlocks
4908,help,help
4909,font color e ce screams font,e ce screams
4910,sheldon are you okay,sheldon okay
4911,we have to get rid of the time machine,get rid time machine
4912,it is a little big for the living room isn t it,little big living room
4913,yeah that s the problem it s too big,yeah problem big
4914,i m glad you agree i hired some guys to help us move it,glad agree hired guys help us move
4915,come on in fellas,come fellas
4916,oh no morlocks,oh morlocks
4917,eat him eat him,eat eat
4918,font color e ce screaming font,e ce screaming
4919,font color e ce gasping font,e ce gasping
4920,leonard,leonard
4921,on the other hand some physicists are concerned that if this supercollider works,hand physicists concerned supercollider works
4922,it ll create a black hole and swallow up the earth ending life as we know it,create black hole swallow earth ending life know
4923,what a bunch of crybabies,bunch crybabies
4924,no guts no glory man,guts glory man
4925,hey check it out,hey check
4926,the school of pharmacology is looking for volunteers,school pharmacology looking volunteers
4927,we are testing a new medication for social anxiety,testing new medication social anxiety
4928,panic attacks agoraphobia and obsessive compulsive disorder,panic attacks agoraphobia obsessive compulsive disorder
4929,why would they be looking for test subjects here,would looking test subjects
4930,i don t know raj,know raj
4931,maybe the comic book store doesn t have a bulletin board,maybe comic book store bulletin board
4932,what s going on shh hot girl in sheldon s office,going shh hot girl sheldon office
4933,sheldon s office,sheldon office
4934,is she lost,lost
4935,i don t think so i followed her here from the parking lot,think followed parking lot
4936,maybe she s his lawyer well she s free to examine my briefs,maybe lawyer well free examine briefs
4937,howard i know i m disgusting,howard know disgusting
4938,i should be punished,punished
4939,by her oh look i did it again,oh look
4940,font color missy font well that should do it thank you for coming by,missy well thank coming
4941,hello,hello
4942,oh hey buddy,oh hey buddy
4943,buddy,buddy
4944,sorry i m late i m working on a project,sorry late working project
4945,that may take me up on the next space shuttle,may take next space shuttle
4946,well how can you be late i wasn t expecting you at all,well late expecting
4947,nobody ever expects me,nobody ever expects
4948,sometimes you just look and bam howard wolowitz,sometimes look bam howard wolowitz
4949,sheldon are you gonna introduce us oh all right this is missy,sheldon gonna introduce us oh right missy
4950,missy this is leonard and rajesh and you ve already met howard,missy leonard rajesh already met howard
4951,it s nice to meet you you too as well also,nice meet well also
4952,yeah,yeah
4953,so how do you two know each other,two know
4954,oh he once spent nine months with my legs wrapped around his head,oh spent nine months legs wrapped around head
4955,excuse me,excuse
4956,she s my twin sister,twin sister
4957,she thinks she s funny but frankly i ve never been able to see it,thinks funny frankly never able see
4958,that s because you have no measurable sense of humor shelly,measurable sense humor shelly
4959,how exactly would one measure a sense of humor,exactly would one measure sense humor
4960,a humormometer,humormometer
4961,well i think you re delightfully droll or as the french say,well think delightfully droll french say
4962,font color e ce speaks in french font,e ce speaks french
4963,okay so let me see if i got this leonard howard and,okay let see got leonard howard
4964,i m sorry what was your name again,sorry name
4965,rajesh,rajesh
4966,so missy what brings you all the way from texas,missy brings way texas
4967,was it perhaps destiny i think it was destiny,perhaps destiny think destiny
4968,my friend s getting married at disneyland,friend getting married disneyland
4969,destiny thy name is anaheim,destiny thy name anaheim
4970,and i had to drop off some papers for shelly to sign for my dad s estate,drop papers shelly sign dad estate
4971,the papers could ve been mailed mom sent you here to spy on me didn t she,papers could mailed mom sent spy
4972,i guess that s why they call you a genius,guess call genius
4973,they call me a genius because i m a genius,call genius genius
4974,tell mom that i currently weigh pounds,tell mom currently weigh pounds
4975,and that i m having regular bowel movements,regular bowel movements
4976,enjoy the wedding goodbye,enjoy wedding goodbye
4977,whoa whoa whoa whoa,whoa whoa whoa whoa
4978,if the wedding s not till tomorrow why don t you stay with us tonight,wedding till tomorrow stay us tonight
4979,oh i don t think so shelly doesn t like company,oh think shelly like company
4980,even as a little boy he d send his imaginary friends home at the end of the day,even little boy send imaginary friends home end day
4981,they were not friends they were imaginary colleagues,friends imaginary colleagues
4982,look you re here and we have plenty of room,look plenty room
4983,no we don t come on shelly she s family,come shelly family
4984,so what i don t issue invitations to your mother,issue invitations mother
4985,it would be nice not to have to drive to anaheim in rush hour,would nice drive anaheim rush hour
4986,and don t ever call me shelly,ever call shelly
4987,so it s settled you ll stay with us,settled stay us
4988,i ll walk you to your car you re in structure level c right,walk car structure level c right
4989,what just happened,happened
4990,so anyway we re years old,anyway years old
4991,and sheldon converts my easy bake oven to some kind of high powered furnace,sheldon converts easy bake oven kind high powered furnace
4992,that s just classic,classic
4993,i needed a place to fire ceramic semiconductor substrates,needed place fire ceramic semiconductor substrates
4994,for homemade integrated circuits,homemade integrated circuits
4995,he was trying to build some sort of armed robot to keep me out of his room,trying build sort armed robot keep room
4996,made necessary by her insistence on going into my room,made necessary insistence going room
4997,anyway i make those little muffins they give you there s a big flash,anyway make little muffins give big flash
4998,next thing you know my eyebrows are gone,next thing know eyebrows gone
4999,not your eyebrows,eyebrows
5000,yep i had to go through the entire second grade,yep go entire second grade
5001,with crooked eyebrows my mom drew on,crooked eyebrows mom drew
5002,is that what that was i just assumed,assumed
5003,that the second grade curriculum had rendered you quizzical,second grade curriculum rendered quizzical
5004,font color e ce knocking on door font,e ce knocking door
5005,hey leonard you left your underwear in the drier downstairs,hey leonard left underwear drier downstairs
5006,pfft,pfft
5007,those are not mine,mine
5008,really they have your little name label in them,really little name label
5009,oh yeah no i use those,oh yeah use
5010,just to polish up my spearfishing equipment,polish spearfishing equipment
5011,i spearfish,spearfish
5012,when i m not crossbow hunting i spearfish,crossbow hunting spearfish
5013,penny this is sheldon s twin sister missy this is our neighbor penny,penny sheldon twin sister missy neighbor penny
5014,hi wow you don t look that much alike,hi wow look much alike
5015,can i get a hallelujah,get hallelujah
5016,fraternal twins come from two separate eggs,fraternal twins come two separate eggs
5017,they are no more alike than any other siblings,alike siblings
5018,hallelujah,hallelujah
5019,hey guess what,hey guess
5020,i ve been accepted as a test subject for a drug,accepted test subject drug
5021,to overcome pathological shyness,overcome pathological shyness
5022,oh good for you raj yes i m very hopeful,oh good raj yes hopeful
5023,hello missy,hello missy
5024,they mentioned there may be side effects,mentioned may side effects
5025,so missy,missy
5026,have you ever met a man from the exotic subcontinent of india,ever met man exotic subcontinent india
5027,well there s dr patel at our church yes patel good man,well dr patel church yes patel good man
5028,do you like motorcycles because i ride a hog,like motorcycles ride hog
5029,a hog you have a two cylinder scooter with a basket in the front,hog two cylinder scooter basket front
5030,you still have to wear a helmet,still wear helmet
5031,have you ever heard of the kama sutra the sex book,ever heard kama sutra sex book
5032,the indian sex book,indian sex book
5033,in other words if you wonder wonder who wrote the book of love,words wonder wonder wrote book love
5034,it was us,us
5035,so sheldon s sister is pretty cute huh i wasn t staring,sheldon sister pretty cute huh staring
5036,i didn t say you were i just said she was cute,say said cute
5037,oh eh,oh eh
5038,maybe if you like women who are tall,maybe like women tall
5039,and perfect,perfect
5040,sheldon why are you ignoring your sister,sheldon ignoring sister
5041,i m not ignoring my sister i m ignoring all of you,ignoring sister ignoring
5042,i brought snacks,brought snacks
5043,oh my gherkins and,oh gherkins
5044,onion dip it s onion dip,onion dip onion dip
5045,we don t entertain much,entertain much
5046,missy do you enjoy pajamas,missy enjoy pajamas
5047,i guess yeah we indians invented them,guess yeah indians invented
5048,you re welcome,welcome
5049,yeah well my people invented circumcision,yeah well people invented circumcision
5050,you re welcome,welcome
5051,missy i m gonna go get my nails done do you wanna come,missy gonna go get nails done wanna come
5052,god yes thanks,god yes thanks
5053,you re welcome,welcome
5054,bye guys bye missy,bye guys bye missy
5055,bye missy see you,bye missy see
5056,goodbye leonard yeah no bye penny,goodbye leonard yeah bye penny
5057,you two have to back off why should i back off you back off,two back back back
5058,excuse me this is my apartment and she s my roommate s sister,excuse apartment roommate sister
5059,so what you ve got penny how do i have penny,got penny penny
5060,in what universe do i have penny,universe penny
5061,so i can have penny hell no,penny hell
5062,excuse me can i interject something,excuse interject something
5063,i m ordering pizza online is everyone okay with pepperoni,ordering pizza online everyone okay pepperoni
5064,sheldon can i talk to you in private i guess,sheldon talk private guess
5065,don t worry i was going to order you cheese less,worry going order cheese less
5066,thank you font color sheldon font it s okay,thank sheldon okay
5067,lactose intolerance is nothing to be embarrassed about,lactose intolerance nothing embarrassed
5068,font color e ce in indian accent font i m a fancy indian man we invented pajamas,e ce indian accent fancy indian man invented pajamas
5069,hey look at me i don t have a foreskin,hey look foreskin
5070,sheldon,sheldon
5071,are you aware that your sister is an incredibly attractive woman,aware sister incredibly attractive woman
5072,hm,hm
5073,she has the symmetry and low body fat that western culture deems desirable,symmetry low body fat western culture deems desirable
5074,it s noteworthy that at other points in history,noteworthy points history
5075,heavier women were the standard for beauty because girth suggested affluence,heavier women standard beauty girth suggested affluence
5076,that s fascinating i didn t say fascinating,fascinating say fascinating
5077,i said it was noteworthy,said noteworthy
5078,all right noted,right noted
5079,but my point is that koothrappali and wolowitz,point koothrappali wolowitz
5080,they re hitting on your sister ugh it s,hitting sister ugh
5081,oh okay you know i don t want to criticize your rhetorical style,oh okay know want criticize rhetorical style
5082,but we d be further along in this conversation,along conversation
5083,if you d begun with that thought,begun thought
5084,that s great but,great
5085,we took quite a detour from what i understand to be your thesis,took quite detour understand thesis
5086,whatever,whatever
5087,you have to do something about it why,something
5088,because she s your sister,sister
5089,i don t understand,understand
5090,yes we shared a uterus for nine months,yes shared uterus nine months
5091,but since then we ve pretty much gone our own separate ways,since pretty much gone separate ways
5092,okay consider this,okay consider
5093,with your father gone it is your responsibility,father gone responsibility
5094,to make sure that missy chooses a suitable mate,make sure missy chooses suitable mate
5095,i hadn t considered that,considered
5096,we do share dna,share dna
5097,so there is the possibility however remote,possibility however remote
5098,that resting in her loins is the potential for another individual,resting loins potential another individual
5099,as remarkable as myself,remarkable
5100,exactly and you owe it to yourself and to posterity,exactly owe posterity
5101,to protect the genetic integrity of your sister s future offspring,protect genetic integrity sister future offspring
5102,you re right if someone wants to get at missy s fallopian tubes,right someone wants get missy fallopian tubes
5103,they ll have to go through me,go
5104,font color e ce laughing font,e ce laughing
5105,i am shiva the destroyer i will have the woman,shiva destroyer woman
5106,i m warning you i was judo champion at math camp,warning judo champion math camp
5107,all right that s enough juvenile squabbling,right enough juvenile squabbling
5108,you stop it you stop it i say,stop stop say
5109,i m gonna settle this right now,gonna settle right
5110,neither of you are good enough for my sister,neither good enough sister
5111,who are you to decide that,decide
5112,he s the man of his family you have to respect his wishes,man family respect wishes
5113,you re out too by the way say what,way say
5114,nothing personal i d prefer my niece or nephew,nothing personal prefer niece nephew
5115,didn t become flatulent every time they ate an eskimo pie,become flatulent every time ate eskimo pie
5116,what are you so happy about i m not happy,happy happy
5117,it s the medication i can t stop smiling,medication stop smiling
5118,now that leonard s made me aware of how high the genetic stakes are,leonard made aware high genetic stakes
5119,we have to face the fact that none of you are suitable for my sister,face fact none suitable sister
5120,wait a minute leonard made you aware of that,wait minute leonard made aware
5121,we all make mistakes let s move on,make mistakes let move
5122,excuse me but i think you re missing a big opportunity here,excuse think missing big opportunity
5123,how so everybody knows genetic diversity,everybody knows genetic diversity
5124,produces the strongest offspring,produces strongest offspring
5125,why not put a little mocha in the family latte,put little mocha family latte
5126,in principle you have a point,principle point
5127,but as a practical matter need i remind you it takes experimental pharmaceuticals,practical matter need remind takes experimental pharmaceuticals
5128,to simply enable you to speak to the opposite sex,simply enable speak opposite sex
5129,i think you re focusing entirely too much on the drugs,think focusing entirely much drugs
5130,is it because i m jewish,jewish
5131,because i d kill my rabbi with a pork chop to be with your sister,kill rabbi pork chop sister
5132,this has nothing to do with religion,nothing religion
5133,this has to do with the fact that you re a tiny man,fact tiny man
5134,who still lives with his mother,still lives mother
5135,sheldon you are really being unreasonable am i,sheldon really unreasonable
5136,here eat this cheese without farting and you can sleep with my sister,eat cheese without farting sleep sister
5137,font color missy font oh really,missy oh really
5138,oops,oops
5139,shelly can i speak to you for a minute alone,shelly speak minute alone
5140,why does everyone suddenly wanna talk to me alone,everyone suddenly wanna talk alone
5141,usually nobody wants to be alone with me,usually nobody wants alone
5142,we all make mistakes let s move on,make mistakes let move
5143,okay,okay
5144,i m not even gonna ask why you re pimping me out for cheese,even gonna ask pimping cheese
5145,but since when do you care at all about who i sleep with,since care sleep
5146,truthfully i ve never given it any thought,truthfully never given thought
5147,but it has been pointed out to me that you carry dna of great potential,pointed carry dna great potential
5148,what on earth are you talking about let me explain,earth talking let explain
5149,you see i m a superior genetic mutation,see superior genetic mutation
5150,an improvement on the existing mediocre stock,improvement existing mediocre stock
5151,and what do you mean mediocre stock,mean mediocre stock
5152,that would be you,would
5153,but residing within you is the potential for another me,residing within potential another
5154,perhaps even taller smarter and less prone to freckling,perhaps even taller smarter less prone freckling
5155,a sheldon if you will,sheldon
5156,sheldon exactly,sheldon exactly
5157,now i am not saying that i should be the sole decider of who you mate with,saying sole decider mate
5158,if you re not attracted then the likelihood of conception will be reduced,attracted likelihood conception reduced
5159,you have got to be kidding me not at all,got kidding
5160,frequent coitus dramatically increases the odds of fertilization,frequent coitus dramatically increases odds fertilization
5161,okay shelly sit down,okay shelly sit
5162,now i ve lived my whole life dealing with the fact that my twin brother is,lived whole life dealing fact twin brother
5163,as mom puts it one of god s special little people,mom puts one god special little people
5164,i always thought i was more like a cuckoo bird,always thought like cuckoo bird
5165,a superior creature whose egg is placed in the nest of ordinary birds,superior creature whose egg placed nest ordinary birds
5166,the newly hatched cuckoo eats all the food,newly hatched cuckoo eats food
5167,leaving the ordinary siblings to starve to death,leaving ordinary siblings starve death
5168,luckily for you that s where the metaphor ended,luckily metaphor ended
5169,i thought it ended at cuckoo,thought ended cuckoo
5170,now you listen to me,listen
5171,if you wanna start acting like a brother who cares about me terrific,wanna start acting like brother cares terrific
5172,bring it on,bring
5173,but you try one time to tell me who i should be sleeping with,try one time tell sleeping
5174,and you and i are gonna go round the way we did when we were little remember,gonna go round way little remember
5175,i have an alternate proposal go on,alternate proposal go
5176,you donate eggs we will place them in cryogenic storage,donate eggs place cryogenic storage
5177,i will find an appropriate sperm donor for your eggs,find appropriate sperm donor eggs
5178,have them fertilized and implanted in you,fertilized implanted
5179,that way everybody wins,way everybody wins
5180,correction missy can date whoever she wants,correction missy date whoever wants
5181,look we have to settle this i agree,look settle agree
5182,sheldon s sister is hiding at penny s because we ve all been hitting on her,sheldon sister hiding penny hitting
5183,she s not hiding she needed to call her grandmother who s apparently very sick,hiding needed call grandmother apparently sick
5184,oh and then i believe she has to wash her hair,oh believe wash hair
5185,oh you poor deluded bastard,oh poor deluded bastard
5186,don t start with me dude you wanna go again,start dude wanna go
5187,sit down okay,sit okay
5188,if we re gonna fight over missy let s do it the right way,gonna fight missy let right way
5189,the honorable way,honorable way
5190,font color howard font ow ow ow ow,howard ow ow ow ow
5191,font color leonard font take that,leonard take
5192,you want some more,want
5193,and he s down,
5194,man font color e ce on tv font one two three four,man e ce tv one two three four
5195,come on come on get up stay down bitch,come come get stay bitch
5196,seven eight nine,seven eight nine
5197,font color e ce bell dings on tv font,e ce bell dings tv
5198,yeah natural selection at work,yeah natural selection work
5199,i weep for humanity,weep humanity
5200,excuse me while i go tell missy the good news,excuse go tell missy good news
5201,hey hi penny how s it going,hey hi penny going
5202,that guy mike that you were dating is that still going on,guy mike dating still going
5203,pretty much why just catching up,pretty much catching
5204,by the way may i speak to missy please,way may speak missy please
5205,of course,course
5206,hi leonard what s up,hi leonard
5207,well since you re leaving i was wondering if you d like to go to dinner with me,well since leaving wondering like go dinner
5208,that s so sweet but no thanks,sweet thanks
5209,oh,oh
5210,do you have other plans or no,plans
5211,all right,right
5212,enjoy the rest of your evening thanks i ll see you,enjoy rest evening thanks see
5213,um here s something we didn t anticipate,um something anticipate
5214,what do you want howard i m fine thanks for asking,want howard fine thanks asking
5215,i ve come to call on missy,come call missy
5216,missy,missy
5217,hi howard the amazing howard,hi howard amazing howard
5218,do you like magic not really no,like magic really
5219,then you are in for a treat,treat
5220,behold an ordinary cane,behold ordinary cane
5221,font color e ce hums font,e ce hums
5222,ta da,ta da
5223,no,
5224,okay,okay
5225,font color e ce humming font,e ce humming
5226,missy,missy
5227,thank you i apprec,thank apprec
5228,apprec,apprec
5229,appre,appre
5230,uh oh,uh oh
5231,oh honey is your medication wearing off,oh honey medication wearing
5232,well hi cutie pie i was hoping you d show up,well hi cutie pie hoping show
5233,font color e ce screeches font,e ce screeches
5234,font color e ce screeching font,e ce screeching
5235,we had a dog who made a noise like that,dog made noise like
5236,had to put him down,put
5237,any news you want me to pass along to mom,news want pass along mom
5238,well she might be interested to know that i ve refocused my research,well might interested know refocused research
5239,from bosonic string theory to heterotic string theory,bosonic string theory heterotic string theory
5240,yeah i ll just tell her you said hey,yeah tell said hey
5241,okay well it was pleasant seeing you,okay well pleasant seeing
5242,other than that business with my testicles,business testicles
5243,come on shelly,come shelly
5244,i want you to know i m very proud of you,want know proud
5245,really yep,really yep
5246,i m always bragging to my friends about my brother the rocket scientist,always bragging friends brother rocket scientist
5247,you tell people i m a rocket scientist,tell people rocket scientist
5248,well yeah i m a theoretical physicist,well yeah theoretical physicist
5249,what s the difference what s the difference,difference difference
5250,goodbye shelly my god,goodbye shelly god
5251,why don t you just tell them that i m a toll taker at the golden gate bridge,tell toll taker golden gate bridge
5252,a rocket scientist how humiliating,rocket scientist humiliating
5253,font color leonard font nice move font color rajesh font i ve got it,leonard nice move rajesh got
5254,font color howard font take him down font color leonard font he s got you sheldon,howard take leonard got sheldon
5255,font color howard font come on font color leonard font he s completely schooling you,howard come leonard completely schooling
5256,hey guys some of the other waitresses wanted me to ask you something,hey guys waitresses wanted ask something
5257,it s tressling it combines the physical strength,tressling combines physical strength
5258,of arm wrestling with the mental agility of tetris into the ultimate sport,arm wrestling mental agility tetris ultimate sport
5259,that s terrific but what they wanted me to ask you is to cut it the hell out,terrific wanted ask cut hell
5260,all right come on guys come on,right come guys come
5261,font color wait staff font font color e ce singing font happy birthday to you,wait staff e ce singing happy birthday
5262,we might as well stop it s a stalemate,might well stop stalemate
5263,you re beating me in tetris but you ve got the upper body strength of a keebler elf,beating tetris got upper body strength keebler elf
5264,keebler elf i got a keebler elf right here,keebler elf got keebler elf right
5265,font color e ce rajesh groan ing font,e ce rajesh groan ing
5266,okay it s a stalemate,okay stalemate
5267,leonard will we be seeing you on saturday for your free birthday cheesecake,leonard seeing saturday free birthday cheesecake
5268,he can t eat cheesecake he s lactose intolerant,eat cheesecake lactose intolerant
5269,okay he can have carrot cake,okay carrot cake
5270,what about the cream cheese frosting he can scrape it off,cream cheese frosting scrape
5271,forget about the cake how did you know my birthday s saturday,forget cake know birthday saturday
5272,i did your horoscope remember,horoscope remember
5273,i was gonna do everybody s until sheldon went on one of his psychotic rants,gonna everybody sheldon went one psychotic rants
5274,for the record that psychotic rant,record psychotic rant
5275,was a concise summation of the research of bertram forer,concise summation research bertram forer
5276,who in proved conclusively,proved conclusively
5277,through meticulous experiments,meticulous experiments
5278,that astrology is pseudoscientific hokum,astrology pseudoscientific hokum
5279,blah blah blah typical taurus,blah blah blah typical taurus
5280,so we gonna see you saturday i don t think so,gonna see saturday think
5281,why not i don t celebrate my birthday,celebrate birthday
5282,shut up yeah you do,shut yeah
5283,it s no big deal it s the way i was raised,big deal way raised
5284,my parents focused on celebrating achievements,parents focused celebrating achievements
5285,and being expelled from a birth canal was not considered one of them,expelled birth canal considered one
5286,that s so silly it s actually based on very sound theories,silly actually based sound theories
5287,his mother published a paper on it well what was it called,mother published paper well called
5288,i hate my son and that s why he can t have cake,hate son cake
5289,font color sheldon font it was obviously effective,sheldon obviously effective
5290,leonard grew up to be an experimental physicist,leonard grew experimental physicist
5291,perhaps if she d also denied him christmas he d be a little better at it,perhaps also denied christmas little better
5292,thank you,thank
5293,well i love birthdays waking up to mom s special french toast breakfast,well love birthdays waking mom special french toast breakfast
5294,wearing the birthday king crown playing laser tag with all my friends,wearing birthday king crown playing laser tag friends
5295,yeah see that s what kids should have,yeah see kids
5296,actually that was last year,actually last year
5297,so you ve really never had a birthday party,really never birthday party
5298,no but it was okay,okay
5299,when i was little i d think my parents would change their mind and surprise me,little think parents would change mind surprise
5300,this one birthday i came home from my cello lesson,one birthday came home cello lesson
