,dialog,cleaned_dialog
254,it s a stephen hawking lecture from mit in,stephen hawking lecture mit
255,this isn t a good time,good time
256,font color e ce imitating computerized voice font it s before he became,e ce imitating computerized voice became
257,a creepy computer voice,creepy computer voice
258,that s great you guys have to go why,great guys go
259,it s just not a good time leonard has a lady over,good time leonard lady
260,font color e ce in normal voice font yeah right your grandmother back in town,e ce normal voice yeah right grandmother back town
261,no,
262,and she s not a lady she s just a new neighbor,lady new neighbor
263,hang on there really is a lady here,hang really lady
264,uh huh and you want us out,uh huh want us
265,because you re anticipating coitus,anticipating coitus
266,i m not anticipating coitus so she s available for coitus,anticipating coitus available coitus
267,can we please just stop saying coitus,please stop saying coitus
268,technically that would be coitus interruptus,technically would coitus interruptus
269,hey is there a trick to getting it to switch from tub to shower,hey trick getting switch tub shower
270,oh hi sorry,oh hi sorry
271,hello,hello
272,enchant mademoiselle,enchant mademoiselle
273,howard wolowitz caltech department of applied physics,howard wolowitz caltech department applied physics
274,you may be familiar with some of my work,may familiar work
275,it s currently orbiting jupiter s largest moon,currently orbiting jupiter largest moon
276,taking high resolution digital photographs,taking high resolution digital photographs
277,penny i work at the cheesecake factory,penny work cheesecake factory
278,i ll show you the trick with the shower okay,show trick shower okay
279,font color e ce speaks in french font,e ce speaks french
280,i m sorry,sorry
281,it s french for good shower,french good shower
282,it s a sentiment i can express in six languages,sentiment express six languages
283,save it for your blog howard,save blog howard
284,font color e ce speaks in foreign language font,e ce speaks foreign language
285,font color leonard font all right there it goes it sticks i m sorry,leonard right goes sticks sorry
286,okay thanks you re welcome,okay thanks welcome
287,oh you re just gonna step right okay,oh gonna step right okay
288,font color penny font hey leonard the hair products are sheldon s,penny hey leonard hair products sheldon
289,font color penny font okay,penny okay
290,um can i ask you a favor a favor,um ask favor favor
291,sure you could ask me a favor i would do you a favor for you,sure could ask favor would favor
292,it s okay if you say no oh i ll probably say yes,okay say oh probably say yes
293,it s just not the kind of thing you ask a guy you just met,kind thing ask guy met
